gene288	GO:0010468 GO:0008380 GO:0006397 GO:0022414 GO:0044464 GO:0032502
gene289	GO:0009062 GO:0006574 GO:0009087 GO:0006567 GO:0004485 GO:0005759 GO:0006550 GO:0006551 GO:0004658
gene290	GO:0006085 GO:0005829 GO:0005777 GO:0005739 GO:0004492 GO:0006637 GO:0031998 GO:0050080
gene291	GO:0006572 GO:0005488 GO:0004838 GO:0042221 GO:0006559 GO:0005739
gene292	GO:0044237 GO:0016787
gene293	GO:0000184 GO:0016246 GO:0016325 GO:0046843 GO:0043025 GO:0007318 GO:0007317 GO:0007616 GO:0005737 GO:0030425 GO:0031023 GO:0030424 GO:0007319 GO:0000578 GO:0003678 GO:0045202
gene294	GO:0000022 GO:0003735 GO:0005811 GO:0022627 GO:0006412
gene295	GO:0032507 GO:0051225 GO:0000915 GO:0007279 GO:0030041 GO:0003779 GO:0005826 GO:0045448 GO:0007111 GO:0007110 GO:0007424
gene296	GO:0007186 GO:0004872
gene297	GO:0003743 GO:0005850 GO:0007367 GO:0030422 GO:0007349 GO:0016442 GO:0035198 GO:0019899 GO:0006342 GO:0007416 GO:0035196 GO:0035279 GO:0030423 GO:0005634
gene298	GO:0016020
gene299	GO:0032502
gene300	GO:0016787 GO:0006629
gene301	GO:0006071 GO:0016301 GO:0016773 GO:0000166
gene302	GO:0005737 GO:0016874 GO:0005488 GO:0006412
gene303	GO:0003887 GO:0006297 GO:0005654
gene304	GO:0016021 GO:0042562 GO:0009755
gene305	GO:0044464
gene306	GO:0006651 GO:0007629 GO:0004435 GO:0006661
gene307	GO:0016021 GO:0055114 GO:0005792 GO:0005886 GO:0004447
gene308	GO:0016787
gene309	GO:0016829
gene310	GO:0035159 GO:0008061 GO:0005576 GO:0004099 GO:0006030
gene311	GO:0032502 GO:0009987
gene312	GO:0004325 GO:0005743 GO:0005506 GO:0006782
gene313	GO:0046872 GO:0010008 GO:0006897
gene314	GO:0004707 GO:0030178 GO:0005524 GO:0016318 GO:0007474 GO:0042332 GO:0006468
gene315	GO:0046872 GO:0005634
gene316	GO:0004003 GO:0042766 GO:0046872 GO:0006333 GO:0016564 GO:0003677 GO:0005700 GO:0016581 GO:0031491 GO:0007517 GO:0048813
gene317	GO:0030127 GO:0006886 GO:0006888 GO:0008270
gene318	GO:0042802 GO:0030177 GO:0007249 GO:0019904 GO:0005956 GO:0008605 GO:0004674
gene319	GO:0005737 GO:0006021 GO:0005488 GO:0008654 GO:0004512
gene320	GO:0044267 GO:0042730 GO:0005576 GO:0044464 GO:0016787
